X,Y,NAME,ADDRESS,CITY,COUNTY,DISTRICT,PROGRAM,STATUS,MANAGER,OBJECTID,ERIC_ID,LAT_DD,LAT_MM,LONG_DD,LONG_MM,DATUM,HAZ_ARC_ID,DOCUMENTS
-82.48620341,27.89109016,Al Capote Cleaners,2701 W Price Ave,Tampa,HILLSBOROUGH,SWD,StateFunded,OPEN,John Sykes,50,ERIC_5551,27,53,82,29,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_5551/gis-facility!search
-85.42173724,30.72250251,Cohee - Barnes Battery Recycling,2144 Sapp Rd,Cottondale,JACKSON,NWD,StateFunded,OPEN,Killian Talley,51,ERIC_3918,30,43,85,25,UNKN,148,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3918/gis-facility!search
-82.51262542,27.98514918,Inco Chemical - Increte,4616 N Clark Ave,Tampa,HILLSBOROUGH,SWD,StateFunded,OPEN,Theresa Pepe,52,ERIC_5584,27,59,82,30,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_5584/gis-facility!search
-81.63725728,30.35029615,Owen Pest Control,2134 Haines St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Killian Talley,53,ERIC_3893,30,21,81,38,ADDM,122,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3893/gis-facility!search
-82.67298067,29.02953962,Barker Chemical Company,US Hwy 17 - 98 & CR 40,Inglis,LEVY,NED,StateFunded,OPEN,Billy Hessman,62,ERIC_3958,29,1,82,40,UNKN,188,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3958/gis-facility!search
-82.43717462,28.00199782,National Linen Service,1919 E Paris St,Tampa,HILLSBOROUGH,SWD,StateFunded,OPEN,Billy Hessman,63,ERIC_3964,28,0,82,26,ADDM,194,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3964/gis-facility!search
-82.34509665,27.93954648,Palm River Road VOC Plume,9647 Palm River Rd,Tampa,HILLSBOROUGH,SWD,StateFunded,OPEN,Billy Hessman,64,ERIC_3952,27,56,82,20,WGPS,182,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3952/gis-facility!search
-80.84770437,28.57827145,Pharmco Laboratories Inc,3520 South St,Titusville,BREVARD,CD,StateFunded,OPEN,Billy Hessman,65,ERIC_3920,28,34,80,50,UNKN,150,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3920/gis-facility!search
-82.4213097,27.96455176,Revivation & Gulf Coast Metal Finishing Inc-Former,2402 N 35th St,Tampa,HILLSBOROUGH,SWD,StateFunded,OPEN,Walsta JeanBaptiste,66,ERIC_3941,27,57,82,25,UNKN,171,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3941/gis-facility!search
-82.71500501,28.27615688,Satellite Archery,6016 Sherwin Dr,Port Richey,PASCO,SWD,StateFunded,OPEN,Billy Hessman,80,ERIC_3961,28,16,82,42,UNKN,191,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3961/gis-facility!search
-82.5459536,27.40324159,Spindrift - Whogas Inc,1520 Tallevast Rd,Tallevast,MANATEE,SWD,StateFunded,OPEN,John Sykes,86,ERIC_3945,27,24,82,32,WGPS,175,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3945/gis-facility!search
-80.22367236,25.79737089,Upsilon Davis,2196 NW 17th Ave,Miami,MIAMI-DADE,SED,StateFunded,OPEN,Miranda McClure,89,ERIC_3877,25,47,80,13,ADDM,105,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3877/gis-facility!search
-81.68654727,30.40553178,Former Red Carpet Cleaners,9016 Lem Turner Rd,Jacksonville,DUVAL,NED,StateFunded,OPEN,Walsta JeanBaptiste,90,ERIC_7545,30,24,81,41,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7545/gis-facility!search
-81.65231461,30.33436401,960 North Market Street Inc ,960 N Market St,Jacksonville,DUVAL,NED,StateFunded,OPEN,Crystal Posey,91,ERIC_3953,30,20,81,39,ADDM,183,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3953/gis-facility!search
-81.69374825,29.96895967,Plumlee Auto Sales - Former,4218 County Road 15A,Green Cove Springs,CLAY,NED,StateFunded,OPEN,Crystal Posey,92,ERIC_7378,29,58,81,41,DPHO,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_7378/gis-facility!search
-81.68906907,30.32256198,Jackson Atomics - Former,2284 Edison Ave,Jacksonville,DUVAL,NED,StateFunded,OPEN,Benjamin Grubbs,93,ERIC_3925,30,19,81,41,WGPS,155,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3925/gis-facility!search
-82.67864646,27.74805712,Former Sixty Minute Cleaners aka Former Church of God Saint Petersburg Inc,3300 22nd Ave S,Saint Petersburg,PINELLAS,SWD,StateFunded,OPEN,Theresa Pepe,96,ERIC_6207,27,44,82,40,,,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_6207/gis-facility!search
-84.00013758,30.47855847,Gulf States Chemical,7339 CR 158,Lloyd,JEFFERSON,NWD,StateFunded,OPEN,Killian Talley,100,ERIC_3902,30,28,84,0,WGPS,131,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3902/gis-facility!search
-87.26009405,30.46420328,Woods Drycleaner - Former,804 W Michigan Ave,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Killian Talley,101,ERIC_3916,30,27,87,15,WGPS,146,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3916/gis-facility!search
-82.67237257,27.81416741,Florida/Superior Plating,2885 46th Ave N,St Petersburg,PINELLAS,SWD,StateFunded,OPEN,Killian Talley,102,ERIC_3966,27,48,82,40,ADDM,196,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3966/gis-facility!search
-80.67681894,28.07864392,Feast Road,3290 W New Haven Ave,Melbourne,BREVARD,CD,StateFunded,OPEN,Killian Talley,103,ERIC_3948,28,4,80,40,ADDM,178,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3948/gis-facility!search
-87.19988612,30.48628268,Fashion Dry Cleaners,6157 N 9th Ave,Pensacola,ESCAMBIA,NWD,StateFunded,OPEN,Killian Talley,104,ERIC_3850,30,29,87,11,ADDM,78,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3850/gis-facility!search
-82.73720476,27.90481102,Kenbar Electroplating,14575 71st St,Largo,PINELLAS,SWD,StateFunded,OPEN,Billy Hessman,105,ERIC_3859,27,54,82,44,ADDM,87,https://prodenv.dep.state.fl.us/DepNexus/public/electronic-documents/ERIC_3859/gis-facility!search
